promotion_id,promo_id_fk
PROMO-0042-0404,PROMO-0042
PROMO-0026-0405,PROMO-0026
PROMO-0035-0406,PROMO-0035
PROMO-0050-0407,PROMO-0050
PROMO-0025-0408,PROMO-0025
PROMO-0024-0409,PROMO-0024
PROMO-0013-0410,PROMO-0013
PROMO-0007-0411,PROMO-0007
PROMO-0036-0412,PROMO-0036
PROMO-0045-0413,PROMO-0045
PROMO-0020-0414,PROMO-0020
PROMO-0001-0415,PROMO-0001
PROMO-0008-0416,PROMO-0008
PROMO-0046-0417,PROMO-0046
PROMO-0016-0418,PROMO-0016
PROMO-0014-0419,PROMO-0014
PROMO-0012-0420,PROMO-0012
PROMO-0023-0421,PROMO-0023
PROMO-0015-0422,PROMO-0015
PROMO-0028-0423,PROMO-0028
PROMO-0034-0424,PROMO-0034
PROMO-0002-0425,PROMO-0002
PROMO-0032-0426,PROMO-0032
PROMO-0023-0427,PROMO-0023
PROMO-0022-0428,PROMO-0022
PROMO-0025-0429,PROMO-0025
PROMO-0022-0430,PROMO-0022
PROMO-0022-0431,PROMO-0022
PROMO-0049-0432,PROMO-0049
PROMO-0042-0433,PROMO-0042
PROMO-0006-0434,PROMO-0006
PROMO-0015-0435,PROMO-0015
PROMO-0043-0436,PROMO-0043
PROMO-0037-0437,PROMO-0037
PROMO-0033-0438,PROMO-0033
PROMO-0008-0439,PROMO-0008
PROMO-0044-0440,PROMO-0044
PROMO-0044-0441,PROMO-0044
PROMO-0005-0442,PROMO-0005
PROMO-0039-0443,PROMO-0039
PROMO-0004-0444,PROMO-0004
PROMO-0006-0445,PROMO-0006
PROMO-0045-0446,PROMO-0045
PROMO-0032-0447,PROMO-0032
PROMO-0030-0448,PROMO-0030
PROMO-0047-0449,PROMO-0047
PROMO-0035-0450,PROMO-0035
PROMO-0040-0451,PROMO-0040
PROMO-0016-0452,PROMO-0016
PROMO-0013-0453,PROMO-0013
PROMO-0050-0454,PROMO-0050
PROMO-0042-0455,PROMO-0042
PROMO-0030-0456,PROMO-0030
PROMO-0019-0457,PROMO-0019
PROMO-0017-0458,PROMO-0017
PROMO-0019-0459,PROMO-0019
PROMO-0028-0460,PROMO-0028
PROMO-0026-0461,PROMO-0026
PROMO-0037-0462,PROMO-0037
PROMO-0026-0463,PROMO-0026
PROMO-0023-0464,PROMO-0023
PROMO-0009-0465,PROMO-0009
PROMO-0012-0466,PROMO-0012
PROMO-0001-0467,PROMO-0001
PROMO-0001-0468,PROMO-0001
PROMO-0047-0469,PROMO-0047
PROMO-0034-0470,PROMO-0034
PROMO-0032-0471,PROMO-0032
PROMO-0048-0472,PROMO-0048
PROMO-0025-0473,PROMO-0025
PROMO-0040-0474,PROMO-0040
PROMO-0045-0475,PROMO-0045
PROMO-0001-0476,PROMO-0001
PROMO-0016-0477,PROMO-0016
PROMO-0039-0478,PROMO-0039
PROMO-0005-0479,PROMO-0005
PROMO-0022-0480,PROMO-0022
PROMO-0029-0481,PROMO-0029
PROMO-0003-0482,PROMO-0003
PROMO-0012-0483,PROMO-0012
PROMO-0026-0484,PROMO-0026
PROMO-0016-0485,PROMO-0016
PROMO-0037-0486,PROMO-0037
PROMO-0022-0487,PROMO-0022
PROMO-0029-0488,PROMO-0029
PROMO-0014-0489,PROMO-0014
PROMO-0028-0490,PROMO-0028
PROMO-0005-0491,PROMO-0005
PROMO-0047-0492,PROMO-0047
PROMO-0049-0493,PROMO-0049
PROMO-0030-0494,PROMO-0030
PROMO-0046-0495,PROMO-0046
PROMO-0005-0496,PROMO-0005
PROMO-0012-0497,PROMO-0012
PROMO-0016-0498,PROMO-0016
PROMO-0026-0499,PROMO-0026
PROMO-0026-0500,PROMO-0026
PROMO-0048-0501,PROMO-0048
PROMO-0021-0502,PROMO-0021
PROMO-0039-0503,PROMO-0039
PROMO-0036-0504,PROMO-0036
PROMO-0033-0505,PROMO-0033
PROMO-0030-0506,PROMO-0030
PROMO-0037-0507,PROMO-0037
PROMO-0023-0508,PROMO-0023
PROMO-0010-0509,PROMO-0010
PROMO-0005-0510,PROMO-0005
PROMO-0036-0511,PROMO-0036
PROMO-0034-0512,PROMO-0034
PROMO-0031-0513,PROMO-0031
PROMO-0010-0514,PROMO-0010
PROMO-0019-0515,PROMO-0019
PROMO-0032-0516,PROMO-0032
PROMO-0001-0517,PROMO-0001
PROMO-0005-0518,PROMO-0005
PROMO-0045-0519,PROMO-0045
PROMO-0004-0520,PROMO-0004
PROMO-0016-0521,PROMO-0016
PROMO-0024-0522,PROMO-0024
PROMO-0016-0523,PROMO-0016
PROMO-0002-0524,PROMO-0002
PROMO-0049-0525,PROMO-0049
PROMO-0028-0526,PROMO-0028
PROMO-0032-0527,PROMO-0032
PROMO-0027-0528,PROMO-0027
PROMO-0020-0529,PROMO-0020
PROMO-0024-0530,PROMO-0024
PROMO-0012-0531,PROMO-0012
PROMO-0050-0532,PROMO-0050
PROMO-0035-0533,PROMO-0035
PROMO-0033-0534,PROMO-0033
PROMO-0033-0535,PROMO-0033
PROMO-0043-0536,PROMO-0043
PROMO-0037-0537,PROMO-0037
PROMO-0012-0538,PROMO-0012
PROMO-0003-0539,PROMO-0003
PROMO-0001-0540,PROMO-0001
PROMO-0033-0541,PROMO-0033
PROMO-0040-0542,PROMO-0040
PROMO-0010-0543,PROMO-0010
PROMO-0043-0544,PROMO-0043
PROMO-0044-0545,PROMO-0044
PROMO-0029-0546,PROMO-0029
PROMO-0013-0547,PROMO-0013
PROMO-0012-0548,PROMO-0012
PROMO-0031-0549,PROMO-0031
PROMO-0046-0550,PROMO-0046
PROMO-0002-0551,PROMO-0002
PROMO-0050-0552,PROMO-0050
PROMO-0035-0553,PROMO-0035
PROMO-0023-0554,PROMO-0023
PROMO-0017-0555,PROMO-0017
PROMO-0026-0556,PROMO-0026
PROMO-0008-0557,PROMO-0008
PROMO-0029-0558,PROMO-0029
PROMO-0026-0559,PROMO-0026
PROMO-0010-0560,PROMO-0010
PROMO-0026-0561,PROMO-0026
PROMO-0034-0562,PROMO-0034
PROMO-0041-0563,PROMO-0041
PROMO-0007-0564,PROMO-0007
PROMO-0004-0565,PROMO-0004
PROMO-0050-0566,PROMO-0050
PROMO-0045-0567,PROMO-0045
PROMO-0011-0568,PROMO-0011
PROMO-0029-0569,PROMO-0029
PROMO-0036-0570,PROMO-0036
PROMO-0025-0571,PROMO-0025
PROMO-0021-0572,PROMO-0021
PROMO-0036-0573,PROMO-0036
PROMO-0010-0574,PROMO-0010
PROMO-0037-0575,PROMO-0037
PROMO-0009-0576,PROMO-0009
PROMO-0024-0577,PROMO-0024
PROMO-0035-0578,PROMO-0035
PROMO-0049-0579,PROMO-0049
PROMO-0035-0580,PROMO-0035
PROMO-0048-0581,PROMO-0048
PROMO-0036-0582,PROMO-0036
PROMO-0018-0583,PROMO-0018
PROMO-0049-0584,PROMO-0049
PROMO-0039-0585,PROMO-0039
PROMO-0032-0586,PROMO-0032
PROMO-0024-0587,PROMO-0024
PROMO-0023-0588,PROMO-0023
PROMO-0032-0589,PROMO-0032
PROMO-0037-0590,PROMO-0037
PROMO-0012-0591,PROMO-0012
PROMO-0049-0592,PROMO-0049
PROMO-0013-0593,PROMO-0013
PROMO-0023-0594,PROMO-0023
PROMO-0025-0595,PROMO-0025
PROMO-0035-0596,PROMO-0035
PROMO-0041-0597,PROMO-0041
PROMO-0030-0598,PROMO-0030
PROMO-0017-0599,PROMO-0017
PROMO-0049-0600,PROMO-0049
PROMO-0020-0601,PROMO-0020
PROMO-0048-0602,PROMO-0048
PROMO-0025-0603,PROMO-0025
PROMO-0022-0604,PROMO-0022
PROMO-0013-0605,PROMO-0013
PROMO-0019-0606,PROMO-0019
PROMO-0049-0607,PROMO-0049
PROMO-0036-0608,PROMO-0036
PROMO-0012-0609,PROMO-0012
PROMO-0041-0610,PROMO-0041
PROMO-0019-0611,PROMO-0019
PROMO-0012-0612,PROMO-0012
PROMO-0009-0613,PROMO-0009
PROMO-0007-0614,PROMO-0007
PROMO-0028-0615,PROMO-0028
PROMO-0014-0616,PROMO-0014
PROMO-0031-0617,PROMO-0031
PROMO-0019-0618,PROMO-0019
PROMO-0047-0619,PROMO-0047
PROMO-0016-0620,PROMO-0016
PROMO-0005-0621,PROMO-0005
PROMO-0035-0622,PROMO-0035
PROMO-0012-0623,PROMO-0012
PROMO-0025-0624,PROMO-0025
PROMO-0021-0625,PROMO-0021
PROMO-0036-0626,PROMO-0036
PROMO-0023-0627,PROMO-0023
PROMO-0016-0628,PROMO-0016
PROMO-0039-0629,PROMO-0039
PROMO-0045-0630,PROMO-0045
PROMO-0042-0631,PROMO-0042
PROMO-0039-0632,PROMO-0039
PROMO-0014-0633,PROMO-0014
PROMO-0031-0634,PROMO-0031
PROMO-0005-0635,PROMO-0005
PROMO-0035-0636,PROMO-0035
PROMO-0023-0637,PROMO-0023
PROMO-0029-0638,PROMO-0029
PROMO-0043-0639,PROMO-0043
PROMO-0011-0640,PROMO-0011
PROMO-0018-0641,PROMO-0018
PROMO-0047-0642,PROMO-0047
PROMO-0012-0643,PROMO-0012
PROMO-0009-0644,PROMO-0009
PROMO-0010-0645,PROMO-0010
PROMO-0044-0646,PROMO-0044
PROMO-0017-0647,PROMO-0017
PROMO-0038-0648,PROMO-0038
PROMO-0007-0649,PROMO-0007
PROMO-0046-0650,PROMO-0046
PROMO-0013-0651,PROMO-0013
PROMO-0040-0652,PROMO-0040
PROMO-0042-0653,PROMO-0042
PROMO-0009-0654,PROMO-0009
PROMO-0050-0655,PROMO-0050
PROMO-0027-0656,PROMO-0027
PROMO-0002-0657,PROMO-0002
PROMO-0005-0658,PROMO-0005
PROMO-0029-0659,PROMO-0029
PROMO-0037-0660,PROMO-0037
PROMO-0038-0661,PROMO-0038
PROMO-0019-0662,PROMO-0019
PROMO-0008-0663,PROMO-0008
PROMO-0048-0664,PROMO-0048
PROMO-0045-0665,PROMO-0045
PROMO-0001-0666,PROMO-0001
PROMO-0022-0667,PROMO-0022
PROMO-0017-0668,PROMO-0017
PROMO-0007-0669,PROMO-0007
PROMO-0025-0670,PROMO-0025
PROMO-0045-0671,PROMO-0045
PROMO-0004-0672,PROMO-0004
PROMO-0036-0673,PROMO-0036
PROMO-0006-0674,PROMO-0006
PROMO-0031-0675,PROMO-0031
PROMO-0019-0676,PROMO-0019
PROMO-0044-0677,PROMO-0044
PROMO-0039-0678,PROMO-0039
PROMO-0027-0679,PROMO-0027
PROMO-0010-0680,PROMO-0010
PROMO-0026-0681,PROMO-0026
PROMO-0019-0682,PROMO-0019
PROMO-0039-0683,PROMO-0039
PROMO-0003-0684,PROMO-0003
PROMO-0045-0685,PROMO-0045
PROMO-0013-0686,PROMO-0013
PROMO-0050-0687,PROMO-0050
PROMO-0028-0688,PROMO-0028
PROMO-0020-0689,PROMO-0020
PROMO-0028-0690,PROMO-0028
PROMO-0008-0691,PROMO-0008
PROMO-0041-0692,PROMO-0041
PROMO-0039-0693,PROMO-0039
PROMO-0001-0694,PROMO-0001
PROMO-0003-0695,PROMO-0003
PROMO-0013-0696,PROMO-0013
PROMO-0028-0697,PROMO-0028
PROMO-0049-0698,PROMO-0049
PROMO-0025-0699,PROMO-0025
PROMO-0033-0700,PROMO-0033
PROMO-0038-0701,PROMO-0038
PROMO-0006-0702,PROMO-0006
PROMO-0044-0703,PROMO-0044
PROMO-0045-0704,PROMO-0045
PROMO-0032-0705,PROMO-0032
PROMO-0045-0706,PROMO-0045
PROMO-0047-0707,PROMO-0047
PROMO-0021-0708,PROMO-0021
PROMO-0016-0709,PROMO-0016
PROMO-0021-0710,PROMO-0021
PROMO-0011-0711,PROMO-0011
PROMO-0037-0712,PROMO-0037
PROMO-0036-0713,PROMO-0036
PROMO-0035-0714,PROMO-0035
PROMO-0019-0715,PROMO-0019
PROMO-0020-0716,PROMO-0020
PROMO-0018-0717,PROMO-0018
PROMO-0047-0718,PROMO-0047
PROMO-0041-0719,PROMO-0041
PROMO-0049-0720,PROMO-0049
PROMO-0014-0721,PROMO-0014
PROMO-0015-0722,PROMO-0015
PROMO-0031-0723,PROMO-0031
PROMO-0001-0724,PROMO-0001
PROMO-0003-0725,PROMO-0003
PROMO-0016-0726,PROMO-0016
PROMO-0023-0727,PROMO-0023
PROMO-0011-0728,PROMO-0011
PROMO-0012-0729,PROMO-0012
PROMO-0010-0730,PROMO-0010
PROMO-0032-0731,PROMO-0032
PROMO-0016-0732,PROMO-0016
PROMO-0008-0733,PROMO-0008
PROMO-0038-0734,PROMO-0038
PROMO-0012-0735,PROMO-0012
